Habitat,Module_Number,Group,Count,size,TM_1,TM_2,TM_3,TM_4,TM_5,TM_6,TM_7,TM_8,TM_9,TM_10,TM_11,TM_12,TM_13,TM_14,TM_15,TM_16,TM_17,TM_18,TM_19,TM_20,TM_21,TM_22,TM_23,TM_24,TM_25,TM_26,TM_27,TM_28,TM_29,TM_30,TM_31,TM_32,TM_33,TM_34,TM_35,TM_36,TM_37,TM_38
Fucus,1,resources,11,264,p_FS0,p_CT1,p_MB1,p_MB2,p_EP1,p_EP2,p_EP4,p_BS1,p_PR0,p_MS1,p_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fucus,1,consumers,24,264,P_FS2,P_FS4,P_FS5,P_FS6,P_CT3,P_CT5,P_CT2,P_MB1,P_MB2,P_MB3,P_MB4,P_EP1,P_EP2,P_EP4,P_GM1,P_BS8,P_BS9,P_BS10,P_BS11,P_MS2,P_MS3,P_MS4,P_MS5,P_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fucus,2,resources,38,722,p_FS1,p_FS2,p_FS4,p_FS5,p_FS6,p_CT3,p_CT4,p_CT5,p_CT2,p_MB3,p_MB4,p_MB5,p_EP3,p_BS2,p_BS3,p_BS4,p_BS5,p_BS6,p_BS7,p_BS8,p_BS9,p_BS10,p_BS11,p_PR1,p_PR2,p_PR3,p_PR5,p_PR6,p_PR7,p_PR8,p_MS2,p_MS3,p_MS4,p_MS5,p_MS6,p_MS7,p_MC2,p_MC3
Fucus,2,consumers,19,722,P_FS1,P_CT4,P_MB5,P_EP3,P_GM2,P_GM3,P_GM4,P_BS2,P_BS3,P_BS4,P_BS5,P_BS6,P_BS7,P_GL1,P_GL2,P_GL3,P_MS6,P_MS7,P_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,1,resources,12,276,p_FS0,p_CT1,p_MB1,p_MB2,p_EP1,p_EP2,p_EP4,p_BS1,p_PR0,p_MS1,p_MS7,p_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,1,consumers,23,276,P_FS2,P_FS4,P_FS5,P_FS6,P_CT3,P_CT5,P_CT2,P_MB1,P_MB2,P_MB3,P_MB4,P_EP1,P_EP2,P_GM1,P_BS8,P_BS9,P_BS10,P_BS11,P_MS2,P_MS3,P_MS4,P_MS5,P_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,2,resources,36,720,p_FS1,p_FS2,p_FS4,p_FS5,p_FS6,p_CT3,p_CT4,p_CT5,p_CT2,p_MB3,p_MB4,p_MB5,p_EP3,p_BS2,p_BS3,p_BS4,p_BS5,p_BS6,p_BS7,p_BS8,p_BS9,p_BS10,p_BS11,p_PR1,p_PR2,p_PR3,p_PR5,p_PR6,p_PR7,p_MS2,p_MS3,p_MS4,p_MS5,p_MS6,p_MC2,p_MC3,NA,NA
Rock,2,consumers,20,720,P_FS1,P_CT4,P_MB5,P_EP3,P_EP4,P_GM2,P_GM3,P_GM4,P_BS2,P_BS3,P_BS4,P_BS5,P_BS6,P_BS7,P_GL1,P_GL2,P_GL3,P_MS6,P_MS7,P_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,1,resources,11,242,p_FS0,p_CT1,p_MB1,p_MB2,p_EP1,p_EP2,p_EP4,p_BS1,p_PR0,p_MS1,p_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,1,consumers,22,242,P_FS4,P_FS5,P_FS6,P_CT3,P_CT5,P_CT2,P_MB1,P_MB2,P_MB3,P_MB4,P_EP1,P_EP2,P_GM1,P_BS8,P_BS9,P_BS10,P_BS11,P_MS2,P_MS3,P_MS4,P_MS5,P_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,2,resources,38,798,p_FS1,p_FS2,p_FS4,p_FS5,p_FS6,p_CT3,p_CT4,p_CT5,p_CT2,p_MB3,p_MB4,p_MB5,p_EP3,p_BS2,p_BS3,p_BS4,p_BS5,p_BS6,p_BS7,p_BS8,p_BS9,p_BS10,p_BS11,p_PR1,p_PR2,p_PR3,p_PR5,p_PR6,p_PR7,p_PR8,p_MS2,p_MS3,p_MS4,p_MS5,p_MS6,p_MS7,p_MC2,p_MC3
Zostera,2,consumers,21,798,P_FS1,P_FS2,P_CT4,P_MB5,P_EP3,P_EP4,P_GM2,P_GM3,P_GM4,P_BS2,P_BS3,P_BS4,P_BS5,P_BS6,P_BS7,P_GL1,P_GL2,P_GL3,P_MS6,P_MS7,P_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,1,resources,11,253,p_FS0,p_CT1,p_MB2,p_EP1,p_EP2,p_EP4,p_BS1,p_PR0,p_PR2,p_MS1,p_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,1,consumers,23,253,P_FS2,P_FS4,P_FS5,P_FS6,P_CT3,P_CT5,P_CT2,P_MB1,P_MB2,P_MB3,P_MB4,P_EP1,P_EP2,P_GM1,P_BS8,P_BS9,P_BS10,P_BS11,P_MS2,P_MS3,P_MS4,P_MS5,P_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,2,resources,36,684,p_FS1,p_FS2,p_FS4,p_FS5,p_FS6,p_CT3,p_CT4,p_CT5,p_CT2,p_MB1,p_MB3,p_MB4,p_MB5,p_EP3,p_BS2,p_BS3,p_BS4,p_BS5,p_BS7,p_BS8,p_BS9,p_BS10,p_BS11,p_PR1,p_PR3,p_PR5,p_PR6,p_PR7,p_MS2,p_MS3,p_MS4,p_MS5,p_MS6,p_MS7,p_MC2,p_MC3,NA,NA
Sand,2,consumers,19,684,P_FS1,P_CT4,P_MB5,P_EP3,P_EP4,P_GM2,P_GM3,P_GM4,P_BS2,P_BS3,P_BS4,P_BS5,P_BS7,P_GL1,P_GL2,P_GL3,P_MS6,P_MS7,P_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
