Habitat,Module_Number,Group,Count_Categories,Size,TM_1,TM_2,TM_3,TM_4,TM_5,TM_6,TM_7,TM_8,TM_9,TM_10,TM_11,TM_12,TM_13,TM_14,TM_15,TM_16,TM_17,TM_18,TM_19,TM_20,TM_21,TM_22,TM_23,TM_24,TM_25,TM_26,TM_27,TM_28,TM_29,TM_30,TM_31,TM_32,TM_33,TM_34,TM_35,TM_36,TM_37,TM_38
Fucus,1,resources,11,264,r_FS0,r_CT1,r_MB1,r_MB2,r_EP1,r_EP2,r_EP4,r_BS1,r_PR0,r_MS1,r_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fucus,1,consumers,24,264,c_FS2,c_FS4,c_FS5,c_FS6,c_CT3,c_CT5,c_CT2,c_MB1,c_MB2,c_MB3,c_MB4,c_EP1,c_EP2,c_EP4,c_GM1,c_BS8,c_BS9,c_BS10,c_BS11,c_MS2,c_MS3,c_MS4,c_MS5,c_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fucus,2,resources,38,608,r_FS1,r_FS2,r_FS4,r_FS5,r_FS6,r_CT3,r_CT4,r_CT5,r_CT2,r_MB3,r_MB4,r_MB5,r_EP3,r_BS2,r_BS3,r_BS4,r_BS5,r_BS6,r_BS7,r_BS8,r_BS9,r_BS10,r_BS11,r_PR1,r_PR2,r_PR3,r_PR5,r_PR6,r_PR7,r_PR8,r_MS2,r_MS3,r_MS4,r_MS5,r_MS6,r_MS7,r_MC2,r_MC3
Fucus,2,consumers,16,608,c_FS1,c_CT4,c_MB5,c_EP3,c_GM2,c_GM3,c_GM4,c_BS2,c_BS3,c_BS4,c_BS5,c_BS6,c_BS7,c_MS6,c_MS7,c_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,1,resources,12,276,r_FS0,r_CT1,r_MB1,r_MB2,r_EP1,r_EP2,r_EP4,r_BS1,r_PR0,r_MS1,r_MS7,r_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,1,consumers,23,276,c_FS2,c_FS4,c_FS5,c_FS6,c_CT3,c_CT5,c_CT2,c_MB1,c_MB2,c_MB3,c_MB4,c_EP1,c_EP2,c_GM1,c_BS8,c_BS9,c_BS10,c_BS11,c_MS2,c_MS3,c_MS4,c_MS5,c_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock,2,resources,36,612,r_FS1,r_FS2,r_FS4,r_FS5,r_FS6,r_CT3,r_CT4,r_CT5,r_CT2,r_MB3,r_MB4,r_MB5,r_EP3,r_BS2,r_BS3,r_BS4,r_BS5,r_BS6,r_BS7,r_BS8,r_BS9,r_BS10,r_BS11,r_PR1,r_PR2,r_PR3,r_PR5,r_PR6,r_PR7,r_MS2,r_MS3,r_MS4,r_MS5,r_MS6,r_MC2,r_MC3,NA,NA
Rock,2,consumers,17,612,c_FS1,c_CT4,c_MB5,c_EP3,c_EP4,c_GM2,c_GM3,c_GM4,c_BS2,c_BS3,c_BS4,c_BS5,c_BS6,c_BS7,c_MS6,c_MS7,c_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,1,resources,11,242,r_FS0,r_CT1,r_MB1,r_MB2,r_EP1,r_EP2,r_EP4,r_BS1,r_PR0,r_MS1,r_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,1,consumers,22,242,c_FS4,c_FS5,c_FS6,c_CT3,c_CT5,c_CT2,c_MB1,c_MB2,c_MB3,c_MB4,c_EP1,c_EP2,c_GM1,c_BS8,c_BS9,c_BS10,c_BS11,c_MS2,c_MS3,c_MS4,c_MS5,c_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zostera,2,resources,38,684,r_FS1,r_FS2,r_FS4,r_FS5,r_FS6,r_CT3,r_CT4,r_CT5,r_CT2,r_MB3,r_MB4,r_MB5,r_EP3,r_BS2,r_BS3,r_BS4,r_BS5,r_BS6,r_BS7,r_BS8,r_BS9,r_BS10,r_BS11,r_PR1,r_PR2,r_PR3,r_PR5,r_PR6,r_PR7,r_PR8,r_MS2,r_MS3,r_MS4,r_MS5,r_MS6,r_MS7,r_MC2,r_MC3
Zostera,2,consumers,18,684,c_FS1,c_FS2,c_CT4,c_MB5,c_EP3,c_EP4,c_GM2,c_GM3,c_GM4,c_BS2,c_BS3,c_BS4,c_BS5,c_BS6,c_BS7,c_MS6,c_MS7,c_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,1,resources,11,253,r_FS0,r_CT1,r_MB2,r_EP1,r_EP2,r_EP4,r_BS1,r_PR0,r_PR2,r_MS1,r_MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,1,consumers,23,253,c_FS2,c_FS4,c_FS5,c_FS6,c_CT3,c_CT5,c_CT2,c_MB1,c_MB2,c_MB3,c_MB4,c_EP1,c_EP2,c_GM1,c_BS8,c_BS9,c_BS10,c_BS11,c_MS2,c_MS3,c_MS4,c_MS5,c_MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sand,2,resources,36,576,r_FS1,r_FS2,r_FS4,r_FS5,r_FS6,r_CT3,r_CT4,r_CT5,r_CT2,r_MB1,r_MB3,r_MB4,r_MB5,r_EP3,r_BS2,r_BS3,r_BS4,r_BS5,r_BS7,r_BS8,r_BS9,r_BS10,r_BS11,r_PR1,r_PR3,r_PR5,r_PR6,r_PR7,r_MS2,r_MS3,r_MS4,r_MS5,r_MS6,r_MS7,r_MC2,r_MC3,NA,NA
Sand,2,consumers,16,576,c_FS1,c_CT4,c_MB5,c_EP3,c_EP4,c_GM2,c_GM3,c_GM4,c_BS2,c_BS3,c_BS4,c_BS5,c_BS7,c_MS6,c_MS7,c_MC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
